PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
1631120,2024-25,00,1610612738,BOS,22.0,16,0,93.0,12,34,0.353,4,18,0.222,5,7,0.714,2,11,13,13,5,1,13,2,33
1641809,2023-24,00,1610612738,BOS,24.0,3,0,23.0,4,6,0.667,3,5,0.6,0,0,0.0,0,1,1,1,2,0,1,1,11
1641809,2024-25,00,1610612738,BOS,25.0,25,1,186.0,17,41,0.415,13,33,0.394,7,9,0.778,9,31,40,13,5,2,8,18,54
1629681,2020-21,00,1610612763,MEM,23.0,18,1,182.0,19,57,0.333,10,33,0.303,9,11,0.818,6,18,24,8,5,8,2,20,57
1629681,2021-22,00,1610612763,MEM,24.0,36,3,461.0,43,127,0.339,27,86,0.314,5,8,0.625,21,39,60,22,23,15,13,58,118
1641817,2024-25,00,1610612752,NYK,24.0,9,0,22.0,4,9,0.444,0,1,0.0,0,0,0.0,1,2,3,2,1,0,2,3,8
1630186,2020-21,00,1610612758,SAC,20.0,13,0,94.0,15,38,0.395,5,19,0.263,5,5,1.0,2,8,10,6,4,1,3,8,40
1630186,2021-22,00,1610612758,SAC,21.0,19,0,134.0,24,58,0.414,5,18,0.278,7,14,0.5,4,9,13,7,1,1,5,10,60
1630186,2023-24,00,1610612761,TOR,23.0,7,1,121.0,18,41,0.439,6,22,0.273,5,6,0.833,4,18,22,8,7,0,7,10,47
1631199,2022-23,00,1610612761,TOR,23.0,9,0,48.0,8,16,0.5,3,9,0.333,1,1,1.0,3,4,7,4,0,1,0,3,20
1631199,2023-24,00,1610612761,TOR,24.0,1,0,4.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,2,0
1631199,2024-25,00,1610612765,DET,25.0,1,0,17.0,1,8,0.125,0,6,0.0,2,2,1.0,4,3,7,2,0,0,0,0,4
1629076,2019-20,00,1610612739,CLE,22.0,11,0,35.0,7,10,0.7,0,0,0.0,5,6,0.833,4,6,10,1,1,0,1,4,19
1629076,2019-20,00,1610612743,DEN,22.0,2,0,19.0,1,2,0.5,0,0,0.0,2,2,1.0,2,2,4,0,2,0,2,1,4
1629076,2019-20,00,0,TOT,22.0,13,0,54.0,8,12,0.667,0,0,0.0,7,8,0.875,6,8,14,1,3,0,3,5,23
1629076,2020-21,00,1610612751,BKN,23.0,4,0,17.0,1,3,0.333,0,0,0.0,0,0,0.0,1,1,2,2,0,0,1,2,2
1629076,2020-21,00,1610612765,DET,23.0,28,1,421.0,68,100,0.68,1,2,0.5,17,35,0.486,27,66,93,15,8,2,20,33,154
1629076,2020-21,00,0,TOT,23.0,32,1,437.0,69,103,0.67,1,2,0.5,17,35,0.486,28,67,95,17,8,2,21,35,156
1629076,2021-22,00,1610612741,CHI,24.0,20,2,200.0,23,38,0.605,0,0,0.0,21,32,0.656,16,37,53,3,4,4,7,28,67
1629620,2019-20,00,1610612764,WAS,22.0,9,0,49.0,5,12,0.417,3,5,0.6,0,0,0.0,1,4,5,7,0,1,3,2,13
1629620,2020-21,00,1610612760,OKC,23.0,9,0,88.0,7,21,0.333,4,14,0.286,3,5,0.6,1,6,7,9,3,0,2,10,21
1629620,2021-22,00,1610612749,MIL,24.0,17,0,198.0,18,57,0.316,10,37,0.27,2,2,1.0,2,11,13,21,8,0,11,17,48
1629620,2021-22,00,1610612758,SAC,24.0,3,0,15.0,1,8,0.125,0,3,0.0,0,0,0.0,0,1,1,2,0,0,1,2,2
1629620,2021-22,00,1610612765,DET,24.0,5,0,91.0,9,28,0.321,8,21,0.381,2,6,0.333,2,5,7,9,1,1,5,8,28
1629620,2021-22,00,0,TOT,24.0,25,0,304.0,28,93,0.301,18,61,0.295,4,8,0.5,4,17,21,32,9,1,17,27,78
1629724,2019-20,00,1610612753,ORL,24.0,8,0,62.0,6,18,0.333,1,7,0.143,2,6,0.333,2,9,11,3,2,0,2,6,15
1629719,2019-20,00,1610612747,LAL,23.0,1,0,9.0,3,6,0.5,0,0,0.0,0,0,0.0,2,3,5,1,0,0,0,0,6
1629719,2020-21,00,1610612747,LAL,24.0,20,1,98.0,17,29,0.586,0,0,0.0,5,11,0.455,12,20,32,1,5,4,5,8,39
1629719,2021-22,00,1610612759,SAS,25.0,15,0,121.0,21,31,0.677,0,0,0.0,4,7,0.571,8,34,42,6,8,7,3,16,46
1630559,2021-22,00,1610612747,LAL,24.0,61,19,1418.0,146,318,0.459,53,167,0.317,99,118,0.839,45,148,193,110,29,20,40,87,444
1630559,2022-23,00,1610612747,LAL,25.0,64,22,1843.0,259,490,0.529,86,216,0.398,229,265,0.864,33,160,193,215,33,19,99,108,833
1630559,2023-24,00,1610612747,LAL,26.0,82,57,2629.0,457,940,0.486,154,420,0.367,232,272,0.853,57,295,352,450,66,25,174,153,1300
1630559,2024-25,00,1610612747,LAL,27.0,73,73,2550.0,477,1037,0.46,200,531,0.377,321,366,0.877,61,268,329,421,81,22,177,151,1475
1630555,2021-22,00,1610612764,WAS,22.0,7,0,20.0,1,6,0.167,0,1,0.0,0,0,0.0,1,2,3,4,0,0,0,0,2
1630644,2021-22,00,1610612741,CHI,23.0,1,0,3.0,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,2
1630644,2021-22,00,1610612747,LAL,23.0,1,0,22.0,2,5,0.4,1,3,0.333,1,1,1.0,0,3,3,1,1,1,2,5,6
1630644,2021-22,00,0,TOT,23.0,2,0,24.0,3,6,0.5,1,3,0.333,1,1,1.0,0,3,3,1,1,1,3,5,8
