PLAYER_ID,LEAGUE_ID,Team_ID,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,TEAM_ID
1629155,00,0,1,0,4.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,1,0,1,0,0,
1629083,00,,2,0,5,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,0.0
1629667,00,,252,45,4550,635,1414,0.449080622347,174,540,0.322222222222,255,328,0.77743902439,178,651,829,292,165,84,215,485,1699,0.0
1628439,00,,21,0,271,37,80,0.4625,2,9,0.222222222222,16,23,0.695652173913,12,36,48,18,3,7,17,50,92,0.0
1628998,00,,259,54,5677,608,1394,0.436154949784,168,545,0.308256880733,209,316,0.661392405063,252,709,961,580,256,104,242,402,1593,0.0
1629147,00,,5,0,41,1,10,0.1,0,4,0.0,2,2,1.0,0,0,0,2,4,0,2,3,4,0.0
1629122,00,,3,0,17,3,9,0.333333333333,0,4,0.0,0,0,0.0,0,3,3,2,0,0,0,0,6,0.0
1629606,00,0,7,0,101.0,13,28,0.464285,5,15,0.333333,12,13,0.923076,6,8,14,5,3,3,2,8,43,
1628407,00,,207,80,4011,571,1419,0.402396053558,127,404,0.314356435643,234,300,0.78,58,479,537,230,96,14,124,273,1503,0.0
1628970,00,,424,319,13070,2493,5399,0.461752176328,732,2155,0.339675174013,924,1119,0.825737265415,469,2158,2627,1135,322,294,675,790,6642,0.0
1628984,00,,336,171,8358,1189,3202,0.371330418488,767,2167,0.353945546838,588,724,0.812154696132,135,623,758,1448,258,53,470,428,3733,0.0
1641790,00,,19,0,66,14,24,0.583333333333,2,8,0.25,3,4,0.75,6,16,22,4,0,4,2,11,33,0.0
1631124,00,,115,4,1928,292,708,0.412429378531,135,407,0.331695331695,96,121,0.793388429752,22,181,203,130,56,23,80,205,815,0.0
