GAME_ID,GAME_DATE,SEASON_ID
1521000035,2010-07-15,2010-11
1521000038,2010-07-15,2010-11
1521000034,2010-07-15,2010-11
1521000039,2010-07-15,2010-11
1521000043,2010-07-16,2010-11
1521000042,2010-07-16,2010-11
1521000045,2010-07-16,2010-11
1521000044,2010-07-16,2010-11
1521000040,2010-07-16,2010-11
1521000041,2010-07-16,2010-11
1521000052,2010-07-17,2010-11
1521000047,2010-07-17,2010-11
1521000048,2010-07-17,2010-11
1521000050,2010-07-17,2010-11
1521000049,2010-07-17,2010-11
1521000051,2010-07-17,2010-11
1521000046,2010-07-17,2010-11
1521000056,2010-07-18,2010-11
1521000053,2010-07-18,2010-11
1521000055,2010-07-18,2010-11
1521000057,2010-07-18,2010-11
1521000058,2010-07-18,2010-11
1521000054,2010-07-18,2010-11
1521200001,2012-07-13,2012-13
1521200003,2012-07-13,2012-13
1521200002,2012-07-13,2012-13
1521200004,2012-07-13,2012-13
1521200006,2012-07-14,2012-13
1521200008,2012-07-14,2012-13
1521200007,2012-07-14,2012-13
1521200005,2012-07-14,2012-13
1521200012,2012-07-15,2012-13
1521200013,2012-07-15,2012-13
1521200015,2012-07-15,2012-13
1521200010,2012-07-15,2012-13
1521200011,2012-07-15,2012-13
1521200009,2012-07-15,2012-13
1521200014,2012-07-15,2012-13
1521200016,2012-07-16,2012-13
1521200019,2012-07-16,2012-13
1521200022,2012-07-16,2012-13
1521200017,2012-07-16,2012-13
1521200018,2012-07-16,2012-13
1521200021,2012-07-16,2012-13
1521200020,2012-07-16,2012-13
1521200028,2012-07-17,2012-13
1521200027,2012-07-17,2012-13
1521200023,2012-07-17,2012-13
1521200026,2012-07-17,2012-13
1521200025,2012-07-17,2012-13
1521200029,2012-07-17,2012-13
1521200024,2012-07-17,2012-13
1521200033,2012-07-18,2012-13
1521200034,2012-07-18,2012-13
1521200031,2012-07-18,2012-13
1521200036,2012-07-18,2012-13
1521200035,2012-07-18,2012-13
1521200030,2012-07-18,2012-13
1521200032,2012-07-18,2012-13
1521200038,2012-07-19,2012-13
1521200039,2012-07-19,2012-13
1521200040,2012-07-19,2012-13
1521200043,2012-07-19,2012-13
1521200041,2012-07-19,2012-13
1521200042,2012-07-19,2012-13
1521200037,2012-07-19,2012-13
1521200044,2012-07-20,2012-13
1521200050,2012-07-20,2012-13
1521200048,2012-07-20,2012-13
1521200045,2012-07-20,2012-13
1521200047,2012-07-20,2012-13
1521200049,2012-07-20,2012-13
1521200046,2012-07-20,2012-13
1521200057,2012-07-21,2012-13
1521200053,2012-07-21,2012-13
1521200055,2012-07-21,2012-13
1521200052,2012-07-21,2012-13
1521200051,2012-07-21,2012-13
1521200054,2012-07-21,2012-13
1521200056,2012-07-21,2012-13
1521200059,2012-07-22,2012-13
1521200058,2012-07-22,2012-13
1521200060,2012-07-22,2012-13
1521300002,2013-07-12,2013-14
1521300003,2013-07-12,2013-14
1521300001,2013-07-12,2013-14
1521300004,2013-07-12,2013-14
1521300008,2013-07-13,2013-14
1521300006,2013-07-13,2013-14
1521300010,2013-07-13,2013-14
1521300005,2013-07-13,2013-14
1521300011,2013-07-13,2013-14
1521300007,2013-07-13,2013-14
1521300009,2013-07-13,2013-14
1521300018,2013-07-14,2013-14
1521300016,2013-07-14,2013-14
1521300017,2013-07-14,2013-14
1521300014,2013-07-14,2013-14
1521300013,2013-07-14,2013-14
1521300015,2013-07-14,2013-14
1521300012,2013-07-14,2013-14
1521300019,2013-07-14,2013-14
1521300025,2013-07-15,2013-14
1521300021,2013-07-15,2013-14
1521300026,2013-07-15,2013-14
1521300024,2013-07-15,2013-14
1521300023,2013-07-15,2013-14
1521300022,2013-07-15,2013-14
1521300020,2013-07-15,2013-14
1521300030,2013-07-16,2013-14
1521300033,2013-07-16,2013-14
1521300032,2013-07-16,2013-14
1521300029,2013-07-16,2013-14
1521300027,2013-07-16,2013-14
1521300031,2013-07-16,2013-14
1521300028,2013-07-16,2013-14
1521300037,2013-07-17,2013-14
1521300034,2013-07-17,2013-14
1521300039,2013-07-17,2013-14
1521300038,2013-07-17,2013-14
1521300036,2013-07-17,2013-14
1521300035,2013-07-17,2013-14
