gameId,GAME_DATE,players_w_gp,players,GP,GS,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,FGM_per_game,FGA_per_game,FG3M_per_game,FG3A_per_game,FTM_per_game,FTA_per_game,OREB_per_game,DREB_per_game,REB_per_game,AST_per_game,STL_per_game,BLK_per_game,TOV_per_game,PF_per_game,PTS_per_game
1520700001,2007-07-06,6,"Lou Amundson (PHI), Bobby Jones (PHI), Jason Smith (PHI), Lou Williams (PHI), Rodney Carney (PHI), Thaddeus Young (PHI)",3516,1009,78690,13841,30044,2242,6520,6415,8423,4148,9001,13149,6580,3032,1435,4421,6414,36339,3.936575654152446,8.544937428896473,0.6376564277588168,1.8543799772468714,1.8245164960182025,2.3956200227531284,1.1797497155858931,2.560011376564278,3.7397610921501707,1.8714448236632537,0.8623435722411832,0.40813424345847554,1.2573947667804324,1.8242320819112627,10.335324232081911
1520700002,2007-07-06,7,"Johan Petro (SEA), Kevin Durant (SEA), Maurice Ager (DAL), Brandon Bass (DAL), DeSagana Diop (DAL), J.J. Barea (DAL), Nick Fazekas (DAL)",3275,1628,81669,16760,34667,3024,8031,9878,11545,2823,12290,15113,9066,2008,2117,5907,5784,46422,5.117557251908397,10.585343511450382,0.9233587786259542,2.4522137404580153,3.01618320610687,3.5251908396946563,0.8619847328244274,3.7526717557251907,4.614656488549619,2.7682442748091605,0.6131297709923664,0.646412213740458,1.8036641221374046,1.7661068702290077,14.17465648854962
1520700003,2007-07-06,5,"Alexander Johnson (MEM), Tarence Kinsey (MEM), Kyle Lowry (MEM), Rudy Gay (MEM), Mike Conley (MEM)",3481,2771,106482,17477,39809,5276,14265,9657,11868,2837,11626,14463,15897,4276,1326,6968,7868,49887,5.020683711577133,11.436081585751221,1.5156564205688021,4.0979603562194775,2.7742028152829645,3.409365124964091,0.8149956908934214,3.3398448721631717,4.1548405630565926,4.566791151967825,1.228382648664177,0.38092502154553287,2.0017236426314278,2.2602700373455904,14.331226659006033
1520700004,2007-07-06,9,"Sergio Rodriguez (POR), LaMarcus Aldridge (POR), Martell Webster (POR), Josh McRoberts (POR), Glen Davis (BOS), Leon Powe (BOS), Rajon Rondo (BOS), Gerald Green (BOS), Gabe Pruitt (BOS)",4345,2361,110162,18625,40260,2566,7297,7782,10344,5581,14834,20415,12779,3481,1970,6534,8923,47598,4.286536248561565,9.265822784810126,0.5905638665132336,1.6794016110471808,1.79102416570771,2.3806674338319906,1.2844649021864212,3.4140391254315303,4.698504027617951,2.9410817031070198,0.801150747986191,0.4533947065592635,1.5037974683544304,2.053624856156502,10.954660529344073
1520700005,2007-07-07,6,"Marco Belinelli (GSW), Josh Powell (GSW), Patrick O'Bryant (GSW), Kelenna Azubuike (GSW), Julian Wright (NOK), Hilton Armstrong (NOK)",1810,398,33287,4816,10940,1417,3756,1974,2539,1140,3381,4521,2052,855,427,1610,2706,13023,2.6607734806629835,6.044198895027624,0.7828729281767955,2.0751381215469613,1.0906077348066299,1.4027624309392266,0.6298342541436464,1.8679558011049724,2.4977900552486187,1.1337016574585634,0.4723756906077348,0.23591160220994475,0.8895027624309392,1.4950276243093923,7.195027624309392
1520700006,2007-07-07,10,"Jason Maxiell (DET), Cheikh Samb (DET), Rodney Stuckey (DET), Arron Afflalo (DET), Lou Amundson (PHI), Thaddeus Young (PHI), Jason Smith (PHI), Rodney Carney (PHI), Lou Williams (PHI), Bobby Jones (PHI)",5476,2028,127800,20981,46090,3370,9654,10499,13691,5862,13768,19630,10549,4141,2107,6881,10329,55831,3.831446311176041,8.41672753834916,0.6154127100073046,1.7629656683710737,1.9172753834915996,2.5001826150474797,1.0704894083272463,2.514243973703433,3.5847333820306795,1.9264061358655953,0.756208911614317,0.38476990504017533,1.2565741417092768,1.8862308254200146,10.195580715850985
1520700007,2007-07-07,3,"Dwayne Jones (CLE), Shannon Brown (CLE), Daniel Gibson (CLE)",786,116,15986,2166,5249,795,2102,847,1086,360,1233,1593,1164,507,191,714,1326,5974,2.7557251908396947,6.678117048346056,1.0114503816793894,2.6743002544529264,1.0776081424936388,1.381679389312977,0.4580152671755725,1.5687022900763359,2.0267175572519083,1.4809160305343512,0.6450381679389313,0.2430025445292621,0.9083969465648855,1.6870229007633588,7.600508905852418
1520700008,2007-07-07,3,"Francisco Garcia (SAC), Justin Williams (SAC), Spencer Hawes (SAC)",1110,489,24806,3735,8346,848,2367,1120,1516,1197,3755,4952,1837,624,955,1375,2630,9438,3.364864864864865,7.518918918918919,0.7639639639639639,2.1324324324324326,1.009009009009009,1.3657657657657658,1.0783783783783785,3.3828828828828827,4.461261261261261,1.654954954954955,0.5621621621621622,0.8603603603603603,1.2387387387387387,2.369369369369369,8.502702702702702
1520700009,2007-07-08,8,"DeSagana Diop (DAL), Maurice Ager (DAL), J.J. Barea (DAL), Nick Fazekas (DAL), LaMarcus Aldridge (POR), Martell Webster (POR), Sergio Rodriguez (POR), Josh McRoberts (POR)",3289,1570,78607,14027,30280,2054,5775,5835,7378,4121,10607,14728,7809,1793,1685,4236,6035,35943,4.264822134387352,9.206445728184859,0.6245059288537549,1.7558528428093645,1.7740954697476436,2.2432350258437217,1.2529644268774704,3.2249923989054423,4.477956825782913,2.3742778960170265,0.5451505016722408,0.5123137731833384,1.2879294618425052,1.834904226208574,10.928245667376101
1520700010,2007-07-08,4,"Jordan Farmar (LAL), Javaris Crittenton (LAL), Ramon Sessions (MIL), Awvee Storey (MIL)",1262,194,26980,4010,9304,758,2139,2618,3389,593,2416,3009,4340,885,110,1942,1767,11396,3.177496038034865,7.372424722662441,0.6006339144215531,1.6949286846275753,2.074484944532488,2.685419968304279,0.46988906497622823,1.9144215530903328,2.384310618066561,3.438985736925515,0.7012678288431062,0.08716323296354993,1.5388272583201268,1.4001584786053882,9.030110935023771
1520700011,2007-07-08,3,"Dwayne Jones (CLE), Shannon Brown (CLE), Daniel Gibson (CLE)",786,116,15986,2166,5249,795,2102,847,1086,360,1233,1593,1164,507,191,714,1326,5974,2.7557251908396947,6.678117048346056,1.0114503816793894,2.6743002544529264,1.0776081424936388,1.381679389312977,0.4580152671755725,1.5687022900763359,2.0267175572519083,1.4809160305343512,0.6450381679389313,0.2430025445292621,0.9083969465648855,1.6870229007633588,7.600508905852418
1520700012,2007-07-08,3,"Von Wafer (DEN), Al Thornton (LAC), Paul Davis (LAC)",530,183,11198,1818,4085,178,563,913,1221,478,1095,1573,520,271,181,573,991,4727,3.430188679245283,7.7075471698113205,0.33584905660377357,1.0622641509433963,1.7226415094339622,2.3037735849056604,0.9018867924528302,2.0660377358490565,2.9679245283018867,0.9811320754716981,0.5113207547169811,0.34150943396226413,1.0811320754716982,1.869811320754717,8.918867924528302
1520700013,2007-07-09,5,"Gerald Green (BOS), Leon Powe (BOS), Glen Davis (BOS), Rajon Rondo (BOS), Gabe Pruitt (BOS)",2176,935,51537,7704,17261,1331,3863,2955,4321,2100,6330,8430,8359,2103,524,3722,4486,19694,3.5404411764705883,7.932444852941177,0.6116727941176471,1.7752757352941178,1.3579963235294117,1.9857536764705883,0.9650735294117647,2.9090073529411766,3.874080882352941,3.841452205882353,0.9664522058823529,0.24080882352941177,1.7104779411764706,2.061580882352941,9.050551470588236
1520700014,2007-07-09,9,"Jason Maxiell (DET), Cheikh Samb (DET), Rodney Stuckey (DET), Arron Afflalo (DET), Mike Conley (MEM), Rudy Gay (MEM), Alexander Johnson (MEM), Kyle Lowry (MEM), Tarence Kinsey (MEM)",5441,3790,155592,24617,55855,6404,17399,13741,17136,4551,16393,20944,19866,5385,1998,9428,11783,69379,4.524352141150524,10.26557618084911,1.1769895239845616,3.1977577651167066,2.525454879617717,3.1494210623047234,0.836427127366293,3.0128652821172577,3.849292409483551,3.6511670648777796,0.9897077743061937,0.3672119095754457,1.732769711450101,2.1655945598235617,12.751148685903326
1520700015,2007-07-09,10,"Lou Williams (PHI), Rodney Carney (PHI), Jason Smith (PHI), Lou Amundson (PHI), Thaddeus Young (PHI), Bobby Jones (PHI), Kelenna Azubuike (GSW), Patrick O'Bryant (GSW), Josh Powell (GSW), Marco Belinelli (GSW)",4859,1332,106183,17981,39621,3641,10208,8148,10547,4870,11652,16522,8358,3677,1677,5672,8473,47751,3.700555669890924,8.1541469438156,0.7493311380942581,2.1008437950195513,1.6768882486108252,2.1706112368800166,1.0022638402963573,2.39802428483227,3.400288125128627,1.7201070179049187,0.7567400699732455,0.34513274336283184,1.1673183782671332,1.7437744391850174,9.827330726486931
1520700016,2007-07-09,7,"Mickael Gelabale (SEA), Johan Petro (SEA), Kevin Durant (SEA), Renaldo Balkman (NYK), Wilson Chandler (NYK), Randolph Morris (NYK), Nate Robinson (NYK)",2902,1790,80475,16831,35338,3775,10215,9481,11147,2370,12091,14461,8022,2351,1937,5563,6222,46918,5.799793246037216,12.177119228118539,1.3008270158511372,3.519986216402481,3.2670572019297035,3.841144038594073,0.8166781529979324,4.166436940041351,4.983115093039284,2.764300482425913,0.8101309441764301,0.6674707098552722,1.9169538249483116,2.144038594073053,16.167470709855273
1520700017,2007-07-09,7,"Corey Brewer (MIN), Craig Smith (MIN), Randy Foye (MIN), Rashad McCants (MIN), Chris Richard (MIN), Ryan Bowen (MIN), Julian Wright (NOK)",2319,852,49297,7208,16599,1761,5227,3164,4270,1595,4478,6073,3874,1940,627,2701,4670,19341,3.108236308753773,7.157826649417853,0.759379042690815,2.2539887882708065,1.364381198792583,1.841310909874946,0.6877964639931005,1.9310047434238895,2.61880120741699,1.6705476498490728,0.8365674859853385,0.2703751617076326,1.1647261750754636,2.013799051315222,8.340232858990944
1520700018,2007-07-09,5,"Dwayne Jones (CLE), Shannon Brown (CLE), Alando Tucker (PHX), DJ Strawberry (PHX), Marcus Banks (PHX)",616,59,9394,1451,3431,335,1011,592,772,292,765,1057,622,342,138,488,792,3829,2.3555194805194803,5.569805194805195,0.5438311688311688,1.6412337662337662,0.961038961038961,1.2532467532467533,0.474025974025974,1.2418831168831168,1.7159090909090908,1.0097402597402598,0.5551948051948052,0.22402597402597402,0.7922077922077922,1.2857142857142858,6.215909090909091
1520700019,2007-07-10,7,"Justin Williams (SAC), Francisco Garcia (SAC), Spencer Hawes (SAC), Quincy Douby (SAC), Dominic McGuire (WAS), Oleksiy Pecherov (WAS), Nick Young (WAS)",2384,779,48794,7351,17052,1991,5470,2785,3558,1912,6017,7929,3044,1228,1313,2459,4673,19478,3.0834731543624163,7.152684563758389,0.8351510067114094,2.2944630872483223,1.1682046979865772,1.4924496644295302,0.802013422818792,2.5239093959731544,3.3259228187919465,1.2768456375838926,0.5151006711409396,0.550755033557047,1.0314597315436242,1.9601510067114094,8.170302013422818
