gameId,GAME_DATE,teamTricode,players_w_gp,players,GP,GS,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,FGM_per_game,FGA_per_game,FG3M_per_game,FG3A_per_game,FTM_per_game,FTA_per_game,OREB_per_game,DREB_per_game,REB_per_game,AST_per_game,STL_per_game,BLK_per_game,TOV_per_game,PF_per_game,PTS_per_game
1520700001,2007-07-06,PHI,6,"Lou Amundson, Bobby Jones, Jason Smith, Lou Williams, Rodney Carney, Thaddeus Young",3516,1009,78690,13841,30044,2242,6520,6415,8423,4148,9001,13149,6580,3032,1435,4421,6414,36339,3.936575654152446,8.544937428896473,0.6376564277588168,1.8543799772468714,1.8245164960182025,2.3956200227531284,1.1797497155858931,2.560011376564278,3.7397610921501707,1.8714448236632537,0.8623435722411832,0.40813424345847554,1.2573947667804324,1.8242320819112627,10.335324232081911
1520700002,2007-07-06,DAL,5,"Maurice Ager, Brandon Bass, DeSagana Diop, J.J. Barea, Nick Fazekas",1828,423,35962,5621,12292,831,2398,2431,3060,1748,4332,6080,3991,705,708,2121,2939,14504,3.074945295404814,6.724288840262582,0.45459518599562365,1.311816192560175,1.3298687089715535,1.6739606126914661,0.9562363238512035,2.3698030634573306,3.326039387308534,2.1832603938730855,0.38566739606126915,0.387308533916849,1.1602844638949672,1.6077680525164113,7.934354485776805
1520700002,2007-07-06,SEA,2,"Johan Petro, Kevin Durant",1447,1205,45707,11139,22375,2193,5633,7447,8485,1075,7958,9033,5075,1303,1409,3786,2845,31918,7.697995853489979,15.463026952315134,1.5155494125777471,3.8928818244644092,5.14651002073255,5.863856254319281,0.7429163787145819,5.499654457498273,6.242570836212854,3.507256392536282,0.9004837595024188,0.9737387698686939,2.6164478230822392,1.9661368348306842,22.058051140290257
1520700003,2007-07-06,MEM,5,"Alexander Johnson, Tarence Kinsey, Kyle Lowry, Rudy Gay, Mike Conley",3481,2771,106482,17477,39809,5276,14265,9657,11868,2837,11626,14463,15897,4276,1326,6968,7868,49887,5.020683711577133,11.436081585751221,1.5156564205688021,4.0979603562194775,2.7742028152829645,3.409365124964091,0.8149956908934214,3.3398448721631717,4.1548405630565926,4.566791151967825,1.228382648664177,0.38092502154553287,2.0017236426314278,2.2602700373455904,14.331226659006033
1520700004,2007-07-06,BOS,5,"Glen Davis, Leon Powe, Rajon Rondo, Gerald Green, Gabe Pruitt",2176,935,51537,7704,17261,1331,3863,2955,4321,2100,6330,8430,8359,2103,524,3722,4486,19694,3.5404411764705883,7.932444852941177,0.6116727941176471,1.7752757352941178,1.3579963235294117,1.9857536764705883,0.9650735294117647,2.9090073529411766,3.874080882352941,3.841452205882353,0.9664522058823529,0.24080882352941177,1.7104779411764706,2.061580882352941,9.050551470588236
1520700004,2007-07-06,POR,4,"Sergio Rodriguez, LaMarcus Aldridge, Martell Webster, Josh McRoberts",2169,1426,58625,10921,22999,1235,3434,4827,6023,3481,8504,11985,4420,1378,1446,2812,4437,27904,5.035039188566159,10.603503918856616,0.5693868142000922,1.5832180728446288,2.2254495159059475,2.776855693868142,1.6048870447210697,3.920700783771323,5.525587828492393,2.0378054402950667,0.6353158137390502,0.6666666666666666,1.2964499769479023,2.045643153526971,12.86491470723836
1520700005,2007-07-07,GSW,4,"Marco Belinelli, Josh Powell, Patrick O'Bryant, Kelenna Azubuike",1343,323,27493,4140,9577,1399,3688,1733,2124,722,2651,3373,1778,645,242,1251,2059,11412,3.08265078183172,7.131049888309755,1.0416976917349219,2.7460908413998513,1.2903946388682055,1.5815338793745346,0.537602382725242,1.973938942665674,2.511541325390916,1.3239017125837678,0.4802680565897245,0.18019359642591215,0.9314966492926284,1.5331347728965004,8.497393894266567
1520700005,2007-07-07,NOK,2,"Julian Wright, Hilton Armstrong",467,75,5794,676,1363,18,68,241,415,418,730,1148,274,210,185,359,647,1611,1.4475374732334048,2.918629550321199,0.03854389721627409,0.145610278372591,0.5160599571734475,0.8886509635974305,0.8950749464668094,1.563169164882227,2.4582441113490363,0.5867237687366167,0.44967880085653106,0.3961456102783726,0.7687366167023555,1.385438972162741,3.449678800856531
1520700006,2007-07-07,DET,4,"Jason Maxiell, Cheikh Samb, Rodney Stuckey, Arron Afflalo",1960,1019,49110,7140,16046,1128,3134,4084,5268,1714,4767,6481,3969,1109,672,2460,3915,19492,3.642857142857143,8.18673469387755,0.5755102040816327,1.5989795918367347,2.083673469387755,2.6877551020408164,0.8744897959183674,2.432142857142857,3.3066326530612247,2.025,0.5658163265306122,0.34285714285714286,1.2551020408163265,1.9974489795918366,9.944897959183674
1520700006,2007-07-07,PHI,6,"Lou Amundson, Thaddeus Young, Jason Smith, Rodney Carney, Lou Williams, Bobby Jones",3516,1009,78690,13841,30044,2242,6520,6415,8423,4148,9001,13149,6580,3032,1435,4421,6414,36339,3.936575654152446,8.544937428896473,0.6376564277588168,1.8543799772468714,1.8245164960182025,2.3956200227531284,1.1797497155858931,2.560011376564278,3.7397610921501707,1.8714448236632537,0.8623435722411832,0.40813424345847554,1.2573947667804324,1.8242320819112627,10.335324232081911
